venue_area_id;venue_area_clean;country_name_clean;unit_name_clean;fuzzy_score;correspondance;geometry;is_strict;status
23;losangeles;unitedstatesofamerica;losangeles;100.0;Ci2Ci;POINT (-118.23198647223317 34.049219260337075);True;single_strict_match
519;denver;unitedstatesofamerica;denver;100.0;Ci2Ci;POINT (-104.9859618 39.7411339);True;single_strict_match
17;chicago;unitedstatesofamerica;chicago;100.0;Ci2Ci;POINT (-87.63523655322338 41.847961283364114);True;single_strict_match
527;lasvegas;unitedstatesofamerica;lasvegas;100.0;Ci2Ci;POINT (-105.2225027 35.5970119);True;single_strict_match
309;sandiego;unitedstatesofamerica;sandiego;100.0;Ci2Ci;POINT (-117.15088145402623 32.71891385421138);True;single_strict_match
321;austin;unitedstatesofamerica;austin;100.0;Ci2Ci;POINT (-97.7447242 30.2688955);True;single_strict_match
308;california;unitedstatesofamerica;california;100.0;Ci2St;POINT (-119.60590001319969 37.24205795622323);True;single_strict_match
218;sanfrancisco;unitedstatesofamerica;sanfrancisco;100.0;Ci2Ci;POINT (-122.39959956304557 37.784262651527904);True;single_strict_match
315;orlando;unitedstatesofamerica;orlando;100.0;Ci2Ci;POINT (-81.3819762 28.5119227);True;single_strict_match
320;sanantonio;unitedstatesofamerica;sanantonio;100.0;Ci2Ci;POINT (-98.4926929920987 29.419848478603353);True;single_strict_match
80;pennsylvania;unitedstatesofamerica;pennsylvania;100.0;Ci2St;POINT (-77.84132463999072 40.89848407637853);True;single_strict_match
63;houston;unitedstatesofamerica;houston;100.0;Ci2Ci;POINT (-95.34843625672217 29.741272831862542);True;single_strict_match
102;arizona;unitedstatesofamerica;arizona;100.0;Ci2St;POINT (-111.66096363958074 34.291854300671446);True;single_strict_match
46;seattle;unitedstatesofamerica;seattle;100.0;Ci2Ci;POINT (-122.31532231603904 47.600423319460475);True;single_strict_match
19;detroit;unitedstatesofamerica;detroit;100.0;Ci2Ci;POINT (-83.05133408216001 42.33355800559568);True;single_strict_match
125;portland;unitedstatesofamerica;portland;100.0;Ci2Ci;POINT (-70.2455274 43.6721616);True;single_strict_match
530;boston;unitedstatesofamerica;boston;100.0;Ci2Ci;POINT (-71.0719595 42.331906);True;single_strict_match
606;neworleans;unitedstatesofamerica;neworleans;100.0;Ci2Ci;POINT (-90.08836791917577 29.968907521885654);True;single_strict_match
528;philadelphia;unitedstatesofamerica;philadelphia;100.0;Ci2Ci;POINT (-75.1798412402816 39.94594243742075);True;single_strict_match
531;pittsburgh;unitedstatesofamerica;pittsburgh;100.0;Ci2Ci;POINT (-80.0019313 40.4319445);True;single_strict_match
680;fireisland;unitedstatesofamerica;unitedstatesofamerica;;Ci2Cn;POINT (-112.49616355550513 45.68811937151896);False;no_match
322;elpaso;unitedstatesofamerica;elpaso;100.0;Ci2Ci;POINT (-106.511941 31.7819298);True;single_strict_match
552;sanjose;unitedstatesofamerica;sanjose;100.0;Ci2Ci;POINT (-121.88817862628899 37.33094269973713);True;single_strict_match
64;georgia;unitedstatesofamerica;georgia;100.0;Ci2St;POINT (-83.45273736939315 32.65406488778664);True;single_strict_match
317;florida;unitedstatesofamerica;florida;100.0;Ci2St;POINT (-82.48260947761543 28.64757978514386);True;single_strict_match
123;northcarolina;unitedstatesofamerica;northcarolina;100.0;Ci2St;POINT (-79.39018841614799 35.54722156220233);True;single_strict_match
48;newjersey;unitedstatesofamerica;newjersey;100.0;Ci2St;POINT (-74.66707888648405 40.19296890592156);True;single_strict_match
129;vermont;unitedstatesofamerica;vermont;100.0;Ci2St;POINT (-72.66539428963189 44.0756977167257);True;single_strict_match
526;baltimore;unitedstatesofamerica;baltimore;100.0;Ci2Ci;POINT (-76.6145820807727 39.28151578641361);True;single_strict_match
679;orangecounty;unitedstatesofamerica;unitedstatesofamerica;;Ci2Cn;POINT (-112.49616355550513 45.68811937151896);False;no_match
119;montana;unitedstatesofamerica;montana;100.0;Ci2Ci;POINT (-150.0727625 62.0796849);True;single_strict_match
72;tennessee;unitedstatesofamerica;tennessee;100.0;Ci2St;POINT (-86.34184031775764 35.8467794716296);True;single_strict_match
106;utah;unitedstatesofamerica;utah;100.0;Ci2St;POINT (-111.67416561853574 39.326481903473564);True;single_strict_match
